,index,Match Type,POTM,Venue,Team1,Team2,Toss_Winner,Toss_Decision,Winner,Win_Margin,Result_Type,Target_Runs,Season,Match
126,8,League,Sachin Tendulkar,Delhi,MI,DC,Delhi Daredevils,field,MI,98,runs,218,2010,"['9th', 'match']"
127,9,League,Jacques Kallis,Bengaluru,RR,RCB,Royal Challengers Bangalore,field,RCB,10,wicket,92,2010,"['10th', 'match']"
128,10,League,Matthew Hayden,Delhi,DC,CSK,Delhi Daredevils,bat,CSK,5,wicket,185,2010,"['11th', 'match']"
129,11,League,Andrew Symonds,Cuttack,DCH,KXIP,Kings XI Punjab,field,Chargers,6,runs,170,2010,"['12th', 'match']"
130,12,League,Abhishek Jhunjhunwala,Ahmedabad,RR,KKR,Rajasthan Royals,bat,RR,34,runs,168,2010,"['13th', 'match']"
131,13,League,Jacques Kallis,Brabourne,MI,RCB,Mumbai Indians,bat,RCB,7,wicket,151,2010,"['14th', 'match']"
132,14,League,Andrew Symonds,Cuttack,DCH,DC,Deccan Chargers,bat,Chargers,10,runs,171,2010,"['15th', 'match']"
133,15,League,Rusty Theron,Chennai,KXIP,CSK,Chennai Super Kings,field,Match,,runs,,2010,"['16th', 'match']"
134,16,League,Sachin Tendulkar,Brabourne,KKR,MI,Kolkata Knight Riders,bat,MI,7,wicket,155,2010,"['17th', 'match']"
135,17,League,Robin Uthappa,Bengaluru,RCB,CSK,Chennai Super Kings,field,RCB,36,runs,171,2010,"['18th', 'match']"
136,18,League,Adam Voges,Mohali,RR,KXIP,Kings XI Punjab,field,RR,31,runs,183,2010,"['19th', 'match']"
137,19,League,Kedar Jadhav,Bengaluru,DC,RCB,Royal Challengers Bangalore,field,Daredevils,17,runs,183,2010,"['20th', 'match']"
138,20,League,Sachin Tendulkar,Brabourne,CSK,MI,Mumbai Indians,field,MI,5,wicket,180,2010,"['21st', 'match']"
139,21,League,Yusuf Pathan,Ahmedabad,DCH,RR,Deccan Chargers,bat,RR,8,wicket,148,2010,"['22nd', 'match']"
140,22,League,Manoj Tiwary,Mohali,KKR,KXIP,Kolkata Knight Riders,bat,KKR,39,runs,183,2010,"['23rd', 'match']"
141,23,League,Naman Ojha,Ahmedabad,RR,CSK,Rajasthan Royals,bat,RR,17,runs,177,2010,"['24th', 'match']"
142,24,League,Harbhajan Singh,DY Patil,MI,DCH,Deccan Chargers,field,MI,41,runs,172,2010,"['25th', 'match']"
143,25,League,David Warner,Delhi,DC,KKR,Delhi Daredevils,bat,Daredevils,40,runs,177,2010,"['26th', 'match']"
144,26,League,Lasith Malinga,Brabourne,KXIP,MI,Mumbai Indians,field,MI,4,wicket,163,2010,"['27th', 'match']"
145,27,League,Murali Vijay,Chennai,RCB,CSK,Royal Challengers Bangalore,bat,CSK,5,wicket,161,2010,"['28th', 'match']"
146,28,League,Dinesh Karthik,Delhi,DC,RR,Delhi Daredevils,bat,Daredevils,67,runs,188,2010,"['29th', 'match']"
147,29,League,Sourav Ganguly,Eden Gardens,KKR,DCH,Kolkata Knight Riders,bat,KKR,24,runs,181,2010,"['30th', 'match']"
148,30,League,Kevin Pietersen,Mohali,KXIP,RCB,Kings XI Punjab,bat,RCB,6,wicket,181,2010,"['31st', 'match']"
149,31,League,Murali Vijay,Chennai,CSK,RR,Chennai Super Kings,bat,CSK,23,runs,246,2010,"['32nd', 'match']"
150,32,League,Ambati Rayudu,Brabourne,MI,DCH,Mumbai Indians,bat,MI,63,runs,178,2010,"['33rd', 'match']"
151,33,League,Mahela Jayawardene,Eden Gardens,KKR,KXIP,Kolkata Knight Riders,bat,Kings,8,wicket,200,2010,"['34th', 'match']"
152,34,League,Paul Collingwood,Delhi,DC,RCB,Delhi Daredevils,bat,Daredevils,37,runs,184,2010,"['35th', 'match']"
153,35,League,Shane Warne,Nagpur,RR,DCH,Rajasthan Royals,bat,RR,2,runs,159,2010,"['36th', 'match']"
154,36,League,Suresh Raina,Chennai,CSK,MI,Chennai Super Kings,bat,CSK,24,runs,165,2010,"['37th', 'match']"
155,37,League,Michael Lumb,Jaipur,KXIP,RR,Kings XI Punjab,bat,RR,9,wicket,153,2010,"['38th', 'match']"
156,38,League,Sourav Ganguly,Eden Gardens,KKR,DC,Kolkata Knight Riders,bat,KKR,14,runs,181,2010,"['39th', 'match']"
157,39,League,Tirumalasetti Suman,Bengaluru,RCB,DCH,Deccan Chargers,field,Chargers,7,wicket,184,2010,"['40th', 'match']"
158,40,League,Kumar Sangakkara,Mohali,MI,KXIP,Mumbai Indians,bat,Kings,6,wicket,154,2010,"['41st', 'match']"
159,41,League,Ryan Harris,Nagpur,CSK,DCH,Chennai Super Kings,bat,Chargers,6,wicket,138,2010,"['42nd', 'match']"
160,42,League,Vinay Kumar,Bengaluru,KKR,RCB,Royal Challengers Bangalore,field,RCB,7,wicket,160,2010,"['43rd', 'match']"
161,43,League,Piyush Chawla,Delhi,DC,KXIP,Delhi Daredevils,bat,Kings,7,wicket,111,2010,"['44th', 'match']"
162,44,League,Sachin Tendulkar,Jaipur,MI,RR,Rajasthan Royals,field,MI,37,runs,174,2010,"['45th', 'match']"
163,45,League,Harmeet Singh,Nagpur,DCH,RCB,Royal Challengers Bangalore,field,Chargers,13,runs,151,2010,"['46th', 'match']"
164,46,League,Kieron Pollard,Brabourne,MI,DC,Mumbai Indians,bat,MI,39,runs,183,2010,"['47th', 'match']"
165,47,League,Ravichandran Ashwin,Chennai,KKR,CSK,Kolkata Knight Riders,bat,CSK,9,wicket,139,2010,"['48th', 'match']"
166,48,League,Kevin Pietersen,Jaipur,RR,RCB,Rajasthan Royals,bat,RCB,5,wicket,130,2010,"['49th', 'match']"
167,49,League,Gautam Gambhir,Chennai,CSK,DC,Chennai Super Kings,bat,Daredevils,6,wicket,112,2010,"['50th', 'match']"
168,50,League,Rohit Sharma,Dharamsala,KXIP,DCH,Deccan Chargers,field,Chargers,5,wicket,174,2010,"['51st', 'match']"
169,51,League,Ryan McLaren,Bengaluru,MI,RCB,Royal Challengers Bangalore,field,MI,57,runs,191,2010,"['52nd', 'match']"
170,52,League,Jaydev Unadkat,Eden Gardens,RR,KKR,Rajasthan Royals,bat,KKR,8,wicket,132,2010,"['53rd', 'match']"
171,53,League,MS Dhoni,Dharamsala,KXIP,CSK,Chennai Super Kings,field,CSK,6,wicket,192,2010,"['54th', 'match']"
172,54,League,Andrew Symonds,Delhi,DCH,DC,Deccan Chargers,bat,Chargers,11,runs,145,2010,"['55th', 'match']"
173,55,League,Murali Kartik,Eden Gardens,MI,KKR,Mumbai Indians,bat,KKR,9,wicket,133,2010,"['56th', 'match']"
174,56,Final,Kieron Pollard,DY Patil,MI,RCB,Mumbai Indians,bat,MI,35,runs,184,2010,Final
175,57,Final,Doug Bollinger,DY Patil,CSK,DCH,Chennai Super Kings,bat,CSK,38,runs,142,2010,Final
176,58,League,Anil Kumble,DY Patil,DCH,RCB,Deccan Chargers,bat,RCB,9,wicket,82,2010,"['3rd', 'Place']"
177,59,Final,Suresh Raina,DY Patil,CSK,MI,Chennai Super Kings,bat,CSK,22,runs,168,2010,Final
178,0,League,Srikkanth Anirudha,Chennai,CSK,KKR,Chennai Super Kings,bat,CSK,2,runs,153,2011,"['1st', 'match']"
179,1,League,Siddharth Trivedi,Hyderabad,DCH,RR,Rajasthan Royals,field,RR,8,wicket,137,2011,"['2nd', 'match']"
180,2,League,AB de Villiers,Kochi,Kochi,RCB,Kochi Tuskers Kerala,bat,RCB,6,wicket,161,2011,"['3rd', 'match']"
181,3,League,Lasith Malinga,Delhi,DC,MI,Delhi Daredevils,bat,MI,8,wicket,95,2011,"['4th', 'match']"
182,4,League,Shrikant Wagh,DY Patil,KXIP,PWI,Kings XI Punjab,bat,Warriors,7,wicket,112,2011,"['5th', 'match']"
183,5,League,Jacques Kallis,Eden Gardens,KKR,DCH,Kolkata Knight Riders,bat,KKR,9,runs,163,2011,"['6th', 'match']"
184,6,League,Shane Warne,Jaipur,DC,RR,Delhi Daredevils,bat,RR,6,wicket,151,2011,"['7th', 'match']"
185,7,League,Sachin Tendulkar,Bengaluru,RCB,MI,Mumbai Indians,field,MI,9,wicket,140,2011,"['8th', 'match']"
186,8,League,Paul Valthaty,Mohali,CSK,KXIP,Kings XI Punjab,field,Kings,6,wicket,188,2011,"['9th', 'match']"
187,9,League,Mohnish  Mishra,DY Patil,Kochi,PWI,Kochi Tuskers Kerala,bat,Warriors,4,wicket,148,2011,"['10th', 'match']"
188,10,League,Dale Steyn,Hyderabad,DCH,RCB,Royal Challengers Bangalore,field,Chargers,33,runs,175,2011,"['11th', 'match']"
189,11,League,Gautam Gambhir,Jaipur,RR,KKR,Kolkata Knight Riders,field,KKR,9,wicket,159,2011,"['12th', 'match']"
190,12,League,Brendon McCullum,Wankhede,MI,Kochi,Kochi Tuskers Kerala,field,Kochi,8,wicket,182,2011,"['13th', 'match']"
191,13,League,Michael Hussey,Chennai,CSK,RCB,Chennai Super Kings,bat,CSK,21,runs,183,2011,"['14th', 'match']"
192,14,League,Paul Valthaty,Hyderabad,DCH,KXIP,Kings XI Punjab,field,Kings,8,wicket,165,2011,"['15th', 'match']"
193,15,League,Yuvraj Singh,DY Patil,PWI,DC,Delhi Daredevils,field,Daredevils,3,wicket,187,2011,"['16th', 'match']"
194,16,League,Lakshmipathy Balaji,Eden Gardens,RR,KKR,Kolkata Knight Riders,field,KKR,8,wicket,81,2011,"['17th', 'match']"
195,17,League,Brendon McCullum,Kochi,CSK,Kochi,Kochi Tuskers Kerala,field,Kochi,7,wicket,131,2011,"['18th', 'match']"
196,18,League,Sunny Sohal,Delhi,DCH,DC,Deccan Chargers,bat,Chargers,16,runs,168,2011,"['19th', 'match']"
197,19,,,,,,,,,,,,2011,
198,20,League,Munaf Patel,Wankhede,PWI,MI,Pune Warriors,bat,MI,7,wicket,118,2011,"['21st', 'match']"
199,21,League,Mahela Jayawardene,Eden Gardens,Kochi,KKR,Kolkata Knight Riders,field,Kochi,6,runs,132,2011,"['22nd', 'match']"
200,22,League,Shaun Marsh,Mohali,KXIP,RR,Rajasthan Royals,field,Kings,48,runs,195,2011,"['23rd', 'match']"
201,23,League,Chris Gayle,Eden Gardens,KKR,RCB,Royal Challengers Bangalore,field,RCB,9,wicket,171,2011,"['24th', 'match']"
202,24,League,Harbhajan Singh,Wankhede,MI,CSK,Chennai Super Kings,field,MI,8,runs,164,2011,"['25th', 'match']"
203,25,League,David Warner,Delhi,DC,KXIP,Kings XI Punjab,field,Daredevils,29,runs,231,2011,"['26th', 'match']"
204,26,League,Lasith Malinga,Hyderabad,MI,DCH,Deccan Chargers,field,MI,37,runs,172,2011,"['27th', 'match']"
205,27,League,Shane Warne,Jaipur,Kochi,RR,Rajasthan Royals,field,RR,8,wicket,109,2011,"['28th', 'match']"
206,28,League,Michael Hussey,Chennai,CSK,PWI,Pune Warriors,field,CSK,25,runs,142,2011,"['29th', 'match']"
207,29,League,Virat Kohli,Delhi,DC,RCB,Royal Challengers Bangalore,field,RCB,3,wicket,160,2011,"['30th', 'match']"
208,30,League,Doug Bollinger,DY Patil,PWI,CSK,Pune Warriors,bat,CSK,8,wicket,141,2011,"['31st', 'match']"
209,31,League,Ishant Sharma,Kochi,DCH,Kochi,Kochi Tuskers Kerala,field,Chargers,55,runs,129,2011,"['32nd', 'match']"
210,32,League,Manoj Tiwary,Delhi,KKR,DC,Delhi Daredevils,field,KKR,17,runs,148,2011,"['33rd', 'match']"
211,33,League,Johan Botha,Jaipur,MI,RR,Rajasthan Royals,field,RR,7,wicket,94,2011,"['34th', 'match']"
212,34,League,Virat Kohli,Bengaluru,RCB,PWI,Pune Warriors,field,RCB,26,runs,181,2011,"['35th', 'match']"
213,35,League,Virender Sehwag,Kochi,DC,Kochi,Delhi Daredevils,bat,Daredevils,38,runs,157,2011,"['36th', 'match']"
214,36,League,Iqbal Abdulla,Eden Gardens,KXIP,KKR,Kolkata Knight Riders,field,KKR,8,wicket,119,2011,"['37th', 'match']"
215,37,League,Ross Taylor,Jaipur,PWI,RR,Rajasthan Royals,field,RR,6,wicket,143,2011,"['38th', 'match']"
216,38,League,Albie Morkel,Chennai,CSK,DCH,Chennai Super Kings,bat,CSK,19,runs,165,2011,"['39th', 'match']"
217,39,League,Kieron Pollard,Wankhede,MI,KXIP,Kings XI Punjab,field,MI,23,runs,159,2011,"['40th', 'match']"
218,40,League,Prasanth Parameswaran,Delhi,DC,Kochi,Kochi Tuskers Kerala,field,Kochi,7,wicket,140,2011,"['41st', 'match']"
219,41,League,Yusuf Pathan,Hyderabad,KKR,DCH,Deccan Chargers,field,KKR,20,runs,169,2011,"['42nd', 'match']"
220,42,League,Michael Hussey,Chennai,RR,CSK,Rajasthan Royals,bat,CSK,8,wicket,147,2011,"['43rd', 'match']"
221,43,League,Rahul Sharma,DY Patil,MI,PWI,Pune Warriors,field,MI,21,runs,160,2011,"['44th', 'match']"
222,44,League,Brad Hodge,Kochi,Kochi,KKR,Kolkata Knight Riders,field,Kochi,17,runs,156,2011,"['45th', 'match']"
223,45,League,Virender Sehwag,Hyderabad,DCH,DC,Delhi Daredevils,field,Daredevils,4,wicket,175,2011,"['46th', 'match']"
224,46,League,Chris Gayle,Bengaluru,RCB,KXIP,Kings XI Punjab,field,RCB,85,runs,205,2011,"['47th', 'match']"
225,47,League,Iqbal Abdulla,Eden Gardens,CSK,KKR,Chennai Super Kings,bat,KKR,10,runs,114,2011,"['48th', 'match']"
226,48,League,Ambati Rayudu,Wankhede,MI,DC,Delhi Daredevils,field,MI,32,runs,178,2011,"['49th', 'match']"
227,49,League,Chris Gayle,Bengaluru,Kochi,RCB,Kochi Tuskers Kerala,bat,RCB,9,wicket,125,2011,"['50th', 'match']"
228,50,League,Rahul Sharma,Mohali,KXIP,PWI,Kings XI Punjab,bat,Warriors,5,wicket,119,2011,"['51st', 'match']"
229,51,League,Murali Vijay,Jaipur,CSK,RR,Rajasthan Royals,field,CSK,63,runs,196,2011,"['52nd', 'match']"
230,52,League,Mitchell Marsh,Hyderabad,DCH,PWI,Deccan Chargers,bat,Warriors,6,wicket,136,2011,"['53rd', 'match']"
231,53,League,Bhargav Bhatt,Mohali,KXIP,MI,Mumbai Indians,field,Kings,76,runs,163,2011,"['54th', 'match']"
232,54,League,Sreenath Aravind,Jaipur,RR,RCB,Royal Challengers Bangalore,field,RCB,9,wicket,146,2011,"['55th', 'match']"
233,55,League,MS Dhoni,Chennai,CSK,DC,Chennai Super Kings,bat,CSK,18,runs,176,2011,"['56th', 'match']"
234,56,League,Dinesh Karthik,Indore,Kochi,KXIP,Kings XI Punjab,field,Kings,6,wicket,178,2011,"['57th', 'match']"
235,57,League,Chris Gayle,Bengaluru,KKR,RCB,Royal Challengers Bangalore,field,RCB,4,wicket,89,2011,"['58th', 'match']"
236,58,League,Amit Mishra,Wankhede,DCH,MI,Deccan Chargers,bat,Chargers,10,runs,135,2011,"['59th', 'match']"
237,59,League,Piyush Chawla,Dharamsala,KXIP,DC,Delhi Daredevils,field,Kings,29,runs,170,2011,"['60th', 'match']"
238,60,League,Brad Hodge,Indore,RR,Kochi,Kochi Tuskers Kerala,field,Kochi,8,wicket,97,2011,"['61st', 'match']"
239,61,League,Amit Mishra,DY Patil,PWI,DCH,Deccan Chargers,field,Chargers,6,wicket,136,2011,"['62nd', 'match']"
240,62,League,Adam Gilchrist,Dharamsala,KXIP,RCB,Kings XI Punjab,bat,Kings,111,runs,232,2011,"['63rd', 'match']"
241,63,League,Wriddhiman Saha,Chennai,CSK,Kochi,Chennai Super Kings,bat,CSK,11,runs,152,2011,"['64th', 'match']"
242,64,League,Yusuf Pathan,DY Patil,PWI,KKR,Kolkata Knight Riders,field,KKR,7,wicket,118,2011,"['65th', 'match']"
243,65,League,Shane Watson,Wankhede,MI,RR,Mumbai Indians,bat,RR,10,wicket,133,2011,"['66th', 'match']"
244,66,League,Shikhar Dhawan,Dharamsala,DCH,KXIP,Kings XI Punjab,field,Chargers,82,runs,198,2011,"['67th', 'match']"
245,67,,,,,,,,,,,,2011,
246,68,League,Chris Gayle,Bengaluru,CSK,RCB,Royal Challengers Bangalore,field,RCB,8,wicket,128,2011,"['69th', 'match']"
247,69,League,James Franklin,Eden Gardens,KKR,MI,Mumbai Indians,field,MI,5,wicket,175,2011,"['70th', 'match']"
248,70,Final,Suresh Raina,Wankhede,RCB,CSK,Chennai Super Kings,field,CSK,6,wicket,175,2011,Final
249,71,Final,Munaf Patel,Wankhede,KKR,MI,Mumbai Indians,field,MI,4,wicket,147,2011,Final
250,72,Final,Chris Gayle,Chennai,RCB,MI,Mumbai Indians,field,RCB,43,runs,185,2011,Final
251,73,Final,Murali Vijay,Chennai,CSK,RCB,Chennai Super Kings,bat,CSK,58,runs,205,2011,Final
